Название книги,Автор,Издательство,Цена со скидкой,Цена без скидки,Процент скидки,Наличие на складе
Программирование компьютерной графики,Боресков Алексей Викторович,ДМК-Пресс,1758,2930,40,На складе
Высокопроизводительный код на платформе .NET,Уотсон Бен,Питер:Для профессионалов,2158,2767,22,На складе
Совершенный алгоритм. Графовые алгоритмы и структуры данных,Рафгарден Тим,Питер:Библиотека программиста,1416,1815,22,На складе
{Вы не знаете JS} Асинхронная обработка и оптимизация,Симпсон Кайл,Питер:Бестселлеры O`Reilly,1323,1696,22,На складе
Основы теории вейвлетов. Вейвлеты в Matlab,Смоленцев Николай Константинович,ДМК-Пресс:Все о вейвлетах,1676,2793,40,Ограничено
Изучаем React,Чиннатамби Кирупа,Бомбора:Мировой компьютерный бестселлер,1407,1928,27,На складе
Изучение сложных систем с помощью Python,Дауни Аллен Б.,ДМК-Пресс,1258,2096,40,На складе
Вероятностное программирование на Python. Байесовский вывод и алгоритмы,Дэвидсон-Пайлон Кэмерон,Питер:Библиотека программиста,1925,2468,22,На складе
JavaScript для чайников,"Минник Крис, Холланд Ева","Диалектика:Для ""чайников""",1613,2688,40,Ограничено
Легкий способ выучить Python 3,Шоу Зед А.,Бомбора:Мировой компьютерный бестселлер,880,1206,27,На складе
Jenkins 2. Приступаем к работе. Создайте свой конвейер развертывания для автоматизации следующего п.,Ластер Брент,ДМК-Пресс,3184,5306,40,На складе
Реактивное программирование на С++. Проектирование параллельных и асинхронных приложений с использов,"Пай Прасид, Абрахам Питер",ДМК-Пресс,1508,2513,40,На складе
Изображение квантовых процессов. Начальный курс квантовой теории и рассуждений на диаграммах,"Коке Боб, Киссинждер Алекс",ДМК-Пресс,3770,6283,40,На складе
Unreal Engine VR для разработчиков,Маккефри Митч,Бомбора:Мировой компьютерный бестселлер,1219,1670,27,На складе
Язык программирования Python. Практикум. Учебное пособие,Жуков Роман Александрович,ИНФРА-М:Высшее образование. Бакалавриат,1581,2635,40,На складе
Django 2 в примерах,Меле Антонио,ДМК-Пресс,2177,3628,40,На складе
Глубокое обучение без математики. Том 1. Основы,Гласснер Эндрю,ДМК-Пресс,2848,4746,40,На складе
Программирование в среде Lazarus. Учебное пособие,Гуриков Сергей Ростиславович,Форум:Среднее профессиональное образование,3173,5288,40,На складе
Программирование и основы алгоритмизации.Теоретические основы и примеры реализации численных методов,"Затонский Андрей Владимирович, Бильфельд Николай Валентинович",РИОР:Высшее образование,1081,1801,40,На складе
Программное обеспечение компьютерных сетей и web-серверов. Учебное пособие,Лисьев Григорий Авенирович и др.,ИНФРА-М:Среднее профессиональное образование,1052,1753,40,На складе
Технологии параллельного программирования. Учебное пособие,"Лупин Сергей Андреевич, Посыпкин Михаил Анатольевич",Форум:Высшее образование,1138,1896,40,На складе
Глубокое обучение и TensorFlow для профессионалов. Математический подход к построению систем,Паттанаяк Сантану,Вильямс,2474,4123,40,Ограничено
Введение в анализ алгоритмов,Солтис Майкл,ДМК-Пресс,1508,2513,40,На складе
Практикум по решению задач на ЭВМ в среде Delphi. Учебное пособие,"Бунаков Павел Юрьевич, Лопатин А. К.",Форум:Среднее профессиональное образование,2866,4777,40,На складе
Анализ вредоносных программ,Монаппа К. А.,ДМК-Пресс,2345,3908,40,На складе
Java. Библиотека профессионала. Том 1. Основы,Хорстманн Кей С.,Диалектика,4086,6810,40,На складе
JavaScript. Карманный справочник,Флэнаган Дэвид,Диалектика,1183,1972,40,На складе
Искусство программирования. Том 3. Сортировка и поиск,Кнут Дональд Эрвин,Диалектика,5699,9498,40,На складе
Язык программирования C++. Краткий курс,Страуструп Бьярне,Диалектика,1613,2688,40,На складе
Численные методы и программирование. Учебное пособие,Колдаев Виктор Дмитриевич,Форум:Среднее профессиональное образование,2435,4059,40,На складе
Микросервисы и контейнеры Docker,Кочер Парминдер Сингх,ДМК-Пресс,1676,2793,40,На складе
Легкий способ выучить Java,Пейн Брайсон,Бомбора:Мировой компьютерный бестселлер,1062,1455,27,На складе
Программирование в Erlang,"Томпсон Саймон, Чезарини Франческо",ДМК-Пресс:Функциональное программирование,1676,2793,40,На складе
Искусство программирования. Том 2. Получисленные алгоритмы,Кнут Дональд Эрвин,Диалектика,4840,8066,40,На складе
Искусственный интеллект для чайников,"Мюллер Джон Пол, Массарон Лука","Диалектика:Для ""чайников""",1613,2688,40,На складе
Современные технологии программирования. Разработка Windows-приложений на языке С#. Учебник. Том 2,Горелов Сергей Витальевич,Прометей,1049,1748,40,На складе
Компьютерное зрение. Теория и алгоритмы,Клетте Рейнхард,ДМК-Пресс,3518,5863,40,На складе
Java. Оптимизация программ. Практические методы повышения производительности приложений в JVM,Эванс Бенджамин и др.,Диалектика,4086,6810,40,На складе
CSS. Полный справочник. Визуальное форматирование веб-страниц,"Мейер Эрик, Уэйл Эстель",Диалектика,5699,9498,40,На складе
Искусство программирования на R. Погружение в большие данные,Мэтлофф Норман,Питер:Библиотека программиста,1497,1919,22,На складе
Алгоритмизация и программирование. Практикум. Учебное пособие,Андрианова Анастасия Александровна и др.,Лань:Учебники для вузов. Специальная литература,1743,2905,40,На складе
Структуры и алгоритмы обработки данных. Линейные структуры. Учебное пособие,Апанасевич Сергей Александрович,Лань:Учебники для вузов. Специальная литература,1360,2266,40,На складе
Самоучитель игры на Паскале. ABC и немного Турбо,Комлев Николай Юрьевич,Солон-пресс:Библиотека студента,888,1480,40,На складе
Алгоритмические трюки для программистов,Уоррен Генри С.,Диалектика,3227,5378,40,На складе
Unity и C#. Геймдев от идеи до реализации,Бонд Джереми Гибсон,Питер:Для профессионалов,3184,Нет старого прайса,Нет скидки,На складе
PostgreSQL 11. Мастерство разработки,Шениг Ганс-Юрген,ДМК-Пресс,2261,3769,40,На складе
Vulkan. Руководство разработчика,"Селлерс Грехем, Кессенич Джон",ДМК-Пресс,2093,3489,40,На складе
Android. Программирование для профессионалов,Филлипс Билл и др.,Питер:Для профессионалов,1517,1945,22,На складе
Теория и практика языков программирования. Учебник,Орлов Сергей Александрович,Питер:Учебник для вузов,2099,2691,22,Ограничено
Среда динамического моделирования технических систем SimInTech. Практикум по моделированию систем,Карташов Борис Александрович и др.,ДМК-Пресс,2009,3349,40,На складе
"Алгоритмы. Справочник с примерами на C, C++, Java и Python",Хайнеман Джордж и др.,Вильямс,3227,5378,40,На складе
Изучаем JavaScript. Руководство по созданию современных веб-сайтов,Браун Этан,Вильямс,2474,4123,40,Ограничено
Изучаем OpenCV 3,"Кэлер Адриан, Брэдски Гэри",ДМК-Пресс,3685,6141,40,На складе
Семь языков за семь недель. Практическое руководство по изучению языков программирования,Тейт Брюс,ДМК-Пресс,1423,2372,40,На складе
Программирование на Java для начинающих,Васильев Алексей Николаевич,Эксмо-Пресс:Российский компьютерный бестселлер,1117,1530,27,На складе
Javascript и jQuery. Интерактивная веб-разработка,Дакетт Джон,Эксмо:Мировой компьютерный бестселлер,2165,2966,27,На складе
Предметно-ориентированное проектирование. Самое основное,Вернон Вон,Диалектика,2474,4123,40,На складе
Введение в Elixir. Введение в функциональное программирование,"Сенлорен Симон, Эйзенберг Дэвид",ДМК-Пресс,1172,1953,40,На складе
Моделирование аукционов,Демешев Борис Борисович,ДМК-Пресс,1088,1813,40,На складе
Как самому написать мобильную 2D-игру,Язев Юрий Евгеньевич,Солон-пресс,922,1537,40,На складе
Python и машинное обучение,Рашка Себастьян,ДМК-Пресс,2680,4466,40,На складе
Проектирование пользовательского интерфейса в Android,Клифтон Ян,ДМК-Пресс,1676,2793,40,На складе
"Прикладная криптография. Протоколы, алгоритмы и исходный код на C",Шнайер Брюс,Диалектика,8064,13440,40,Ограничено
ASP.NET Core MVC с примерами на C# для профессионалов,Фримен Адам,Диалектика,5699,9498,40,На складе
"Стек, или Путешествие туда и обратно",Вторников Алексей Анатольевич,ДМК-Пресс,754,1256,40,На складе
Программирование на Visual Basic для начинающих,МакГрат Майк,Эксмо-Пресс:Программирование для начинающих (обложка),650,890,27,На складе
Реактивное программирование с использованием RxJava,"Нуркевич Томаш, Кристенсен Бен",ДМК-Пресс,1591,2652,40,На складе
Изучаем PHP 7. Руководство по созданию интерактивных веб-сайтов,Скляр Дэвид,Диалектика,3227,5378,40,На складе
Не заставляйте меня думать. Веб-юзабилити и здравый смысл,Круг Стив,Эксмо-Пресс:Мировой компьютерный бестселлер,856,1172,27,На складе
Go на практике,"Батчер Мэтт, Фарина Мэтт",ДМК-Пресс,1508,2513,40,На складе
Использование Docker,Моуэт Эдриен,ДМК-Пресс,1663,2772,40,На складе
Методы разработки математических моделей и вычислительный эксперимент на базе пакета MATLAB,Плохотников Константин Эдуардович,Солон-пресс,1564,2607,40,Ограничено
Цифровая обработка сигналов на языке Python,Дауни Аллен Б.,ДМК-Пресс,1004,1674,40,На складе
Программирование на C++ в примерах и задачах,Васильев Алексей Николаевич,Эксмо-Пресс:Российский компьютерный бестселлер,777,1064,27,На складе
Cassandra. Полное руководство,"Карпентер Джефф, Хьюитт Эбен",ДМК-Пресс,1591,2652,40,На складе
Изучаем Angular 2,Дилеман Пабло,ДМК-Пресс,1172,1953,40,На складе
Разработка обслуживаемых программ на языке C#,Виссер Джуст,ДМК-Пресс,1088,1813,40,На складе
Разработка обслуживаемых программ на языке Java,Виссер Джуст,ДМК-Пресс,1088,1813,40,Ограничено
XBRL для чайников,"Хоффман Чарльз, Уотсон Лив","Диалектика:Для ""чайников""",2474,4123,40,Ограничено
Разработка геоприложений на языке Python,Вестра Эрик,ДМК-Пресс,1841,3069,40,На складе
Инженерия требований,Халл Элизабет и др.,ДМК-Пресс,1508,2513,40,На складе
Программирование PIC - микроконтроллеров на PicBasic,Хелибайк Чак,Додека XXI век:Программируемые системы,754,1256,40,На складе
Введение в современные САПР. Курс лекций,Малюх Владимир Николаевич,ДМК-Пресс:САПР от А до Я,586,976,40,Ограничено
Функциональное программирование на F#,Сошников Дмитрий Валерьевич,ДМК-Пресс,922,1536,40,На складе
Скользкие места С++. Как избежать проблем  при проектировании и компиляции ваших программ,Дьюхэрст Стефан К.,ДМК-Пресс:Профессиональная серия от Addison-Wesley,922,1536,40,На складе
Программируем микрокомпьютер NXT в LabVIEW,"Белиовская Лидия Георгиевна, Белиовский Александр Евгеньевич",ДМК-Пресс:Все о LabVIEW,562,936,40,На складе
Dart в действии,Баккет Крис,ДМК-Пресс,1758,2930,40,На складе
MATLAB. Полный самоучитель,Дьяконов Владимир Павлович,ДМК-Пресс,2512,4187,40,Ограничено
С для программистов с введением в С11,"Дейтел Пол Дж., Дейтел Харви",ДМК-Пресс,1758,2930,40,На складе
Параллельное и конкурентное программирование на Haskell,Марлоу Саймон,ДМК-Пресс:Функциональное программирование,1676,2793,40,На складе
Практическое использование Common Lisp,Сайбель Питер,ДМК-Пресс:Функциональное программирование,2177,3628,40,На складе
Сбор данных в Интернете на языке R,Храмов Дмитрий Александрович,ДМК-Пресс,1423,2372,40,На складе
Unity 5.x. Программирование искусственного интеллекта в играх,Паласиос Хорхе,ДМК-Пресс,1508,2513,40,На складе
Программирование микроконтроллеров. Стратегия и тактика,Матюшин Андрей Олегович,ДМК-Пресс,1841,3069,40,На складе
Ruby on Rails для начинающих. Изучаем разработку веб-приложений на основе Rails,Хартл Майкл,ДМК-Пресс,2177,3628,40,На складе
Программирование и отладка С/С++ приложений для микроконтроллеров ARM,Магда Юрий Степанович,ДМК-Пресс,754,1256,40,На складе
Эффективное использование С++. 55 верных способов улучшить структуру и код ваших программ,Мэйерс Скотт,ДМК-Пресс:Профессиональная серия от Addison-Wesley,1172,1953,40,На складе
"Assembler. Для DOS, Windows и Unix",Зубков Сергей Владимирович,ДМК-Пресс:Для программистов,1676,2793,40,На складе
Лямбда-выражения в Java 8. Функциональное программирование - в массы,Уорбэртон Ричард,ДМК-Пресс:Функциональное программирование,1004,1674,40,На складе
Системная инженерия. Принципы и практика,Косяков Александр и др.,ДМК-Пресс,2345,3908,40,На складе
Оптимизация приложений на платформе .Net,Голдштейн Саша и др.,ДМК-Пресс,2182,3636,40,На складе
Интерфейс. Основы проектирования взаимодействия,Купер Алан и др.,Питер:Для профессионалов,2266,2905,22,На складе
Аналоговые интерфейсы микроконтроллеров,Болл Стюарт Р.,Додека XXI век:Программируемые системы,1340,2233,40,На складе
Практическое использование Vim. Редактируйте текст со скоростью мысли,Нейл Дрю,ДМК-Пресс,1508,2513,40,На складе
Анализ сетей (графов) в среде R. Руководство пользователя,Люк Дуглас А.,ДМК-Пресс,1758,2930,40,На складе
Основы проектирования в Autodesk Inventor 2016,Зиновьев Дмитрий Валериевич,ДМК-Пресс,669,1115,40,На складе
Программирование. Введение в профессию. Том 1. Азы программирования,Столяров Андрей Викторович,ДМК-Пресс,2848,4746,40,На складе
Имитационное моделирование процессов и систем в АПК. Учебное пособие,"Худякова Елена Викторовна, Липатов Алексей Александрович",Колос:Учебники и учебные пособия для студентов вузов,2107,3512,40,На складе
ВОСХОД программиста,Земцов А. Н.,Деловой двор:Хочу в СССР,955,1224,22,На складе
JavaScript с нуля,Чиннатамби Кирупа,Питер:Библиотека программиста,1545,1981,22,На складе
Наглядный CSS,Сидельников Грег,Питер:Библиотека программиста,1404,1800,22,На складе
Основы разработки iOS-приложений на C# с помощью Xamarin. Учебное пособие для вузов,Умрихин Евгений Дмитриевич,Лань:Компьютеры и программное обеспечение,2518,4196,40,Ограничено
Основы разработки iOS-приложений на C# с помощью Xamarin.СПО,Умрихин Евгений Дмитриевич,Лань:Компьютеры и программное обеспечение,2400,4000,40,На складе
Программирование. Сборник задач. Учебное пособие для СПО,Маран Михкель Михкелевич и др.,Лань:Компьютеры и программное обеспечение,1483,2471,40,На складе
Математическое программирование.СПО,Ганичева Антонина Валериановна,Лань:Математика,1364,2274,40,Ограничено
Программирование на ассемблере х64. От начального уровня до профессионального использования AVX64,Йо Ван Гуй,ДМК-Пресс,2177,3628,40,На складе
Обработка и представление данных в MS Excel. Учебное пособие,"Бурнаева Эльфия Гарифовна, Леора Светлана Николаевна",Лань:Компьютеры и программное обеспечение,989,1649,40,На складе
Парадигма программирования. Учебное пособие,Городняя Лидия Васильевна,Лань:Учебники для вузов. Специальная литература,1924,3206,40,Ограничено
ASP.NET Core 3 с примерами на C# для профессионалов,Фримен Адам,Вильямс,6451,10752,40,Ограничено
Создаем динамические веб-сайты на PHP,"Татро Кевин, Макинтайр Питер",Питер:Бестселлеры O`Reilly,2325,2981,22,На складе
Теория вероятностей и математическая статистика в среде MATLAB. Учебное пособие,Алибеков Игорь Юсупович,Лань:Компьютеры и программное обеспечение,1276,2127,40,На складе
HTTP/2 в действии,Поллард Барри,ДМК-Пресс,2680,4466,40,На складе
Методика моделирования динамики октокоптера,Щекатуров Александр Михайлович,ДМК-Пресс,1676,2793,40,На складе
"Байесовская статистика. Star Wars, LEGO, резиновые уточки и многое другое",Курт Уилл,Питер:Библиотека программиста,2793,3581,22,На складе
Python. Лучшие практики и инструменты,"Яворски Михаил, Зиаде Терек",Питер:Библиотека программиста,2793,3581,22,На складе
C# 9.0. Карманный справочник,"Албахари Джозеф, Албахари Бен",Диалектика,1613,2688,40,На складе
Теория автоматического управления (с использованием MATLAB - SIMULINK). Учебное пособие,"Пащенко Федор Федорович, Кудинов Юрий Иванович",Лань:Компьютеры и программное обеспечение,2878,4796,40,Ограничено
Обработка естественного языка. Python и spaCy на практике,Васильев Юрий,Питер:Библиотека программиста,1554,1992,22,На складе
Python для финансовых расчетов,Хилпиш Ив,Диалектика:Самоучитель,8064,13440,40,На складе
Разработка и анализ компьютерных алгоритмов,Ахо Альфред В. и др.,Вильямс,2474,4123,40,Ограничено
Научное программирование на Python,Хилл Кристиан,ДМК-Пресс,2680,4466,40,На складе
C#. Алгоритмы и структуры данных (+CD). СПО,"Тюкачев Николай Аркадиевич, Хлебостроев Виктор Григорьевич",Лань:Компьютеры и программное обеспечение,2450,4083,40,Ограничено
C#. Программирование 2D и 3D векторной графики +CD. СПО,"Тюкачев Николай Аркадиевич, Хлебостроев Виктор Григорьевич",Лань:Компьютеры и программное обеспечение,2164,3607,40,Ограничено
Алгоритмизация и программирование. Практикум. СПО,Андрианова Анастасия Александровна,Лань:Компьютеры и программное обеспечение,1699,2831,40,На складе
Организация беспроводных Ad Hoc и Hot Spot сетей в среде ОС Windows,"Заяц Анатолий Моисеевич, Хабаров Сергей Петрович",Лань:Компьютеры и программное обеспечение,1711,2852,40,На складе
Построение распределенных систем на базе WebSocket. Учебное пособие,"Хабаров Сергей Петрович, Шилкина Мария Львовна",Лань:Компьютеры и программное обеспечение,2114,3524,40,Ограничено
Практическое введение в язык программирования Си. СПО,"Солдатенко Илья Сергеевич, Попов Иван Владимирович",Лань:Компьютеры и программное обеспечение,1092,1820,40,Ограничено
Проектирование и разработка WEB-приложений. Введение в frontend и backend разработку. СПО,"Заяц Анатолий Моисеевич, Васильев Николай Павлович",Лань:Компьютеры и программное обеспечение,1406,2344,40,Ограничено
Простой Python для опытных программистов,Гаско Рик,Солон-пресс:Программирование,922,1537,40,На складе
Профессиональная разработка на Python,Уилкс Мэттью,ДМК-Пресс,3184,5306,40,На складе
Основы Python. Научитесь мыслить как программист,Дауни Аллен Б.,"Манн, Иванов и Фербер",1461,2001,27,На складе
SimInTech. Преобразователи автономных источников электроэнергии,"Калачёв Юрий Николаевич, Александров А. Г.",ДМК-Пресс,1256,2093,40,На складе
JavaScript. Готовые программы. Учебное пособие,Янцев Валерий Викторович,Лань:Компьютеры и программное обеспечение,1439,2398,40,Ограничено
JavaScript. Готовые программы. СПО,Янцев Валерий Викторович,Лань:Компьютеры и программное обеспечение,1280,2133,40,На складе
TypeScript быстро,"Файн Яков, Моисеев Антон",Питер:Для профессионалов,2495,3199,22,На складе
C# 8 и .NET Core. Разработка и оптимизация,Прайс Марк Дж.,Питер:Для профессионалов,3457,4432,22,На складе
Разработка базы данных в Access. Учебное пособие,Волик Мария Владимировна,Прометей,403,672,40,На складе
Основы программирования на языке С. Учебное пособие,"Гагарина Лариса Геннадьевна, Дорогова Екатерина Георгиевна",ИНФРА-М:Высшее образование. Бакалавриат,2016,3360,40,На складе
Python. Быстрый старт,Чан Джейми,Питер:Библиотека программиста,1077,1381,22,На складе
C++ для профи,Лоспинозо Джош,Питер:Для профессионалов,3261,4181,22,На складе
Интеллектуальные информационные системы и методы искусственного интеллекта. Учебник,"Андрейчиков Александр Валентинович, Андрейчикова Ольга Николаевна",ИНФРА-М:Высшее образование. Магистратура,3839,6398,40,Ограничено
Инструментальные средства разработки программного обеспечения Системы Fossil,Орещенков Игорь Сергеевич,Лань:Компьютеры и программное обеспечение,2276,3793,40,На складе
"Эффективный Java. Тюнинг кода на Java 8, 11 и дальше",Оукс Скотт,Питер:Бестселлеры O`Reilly,3244,4159,22,На складе
Python. Сборник упражнений,Стивенсон Бен,ДМК-Пресс,1172,1953,40,На складе
"Стильный Java. Код, который работает всегда и везде",Фаэлла Марко,Питер:Библиотека программиста,2430,3116,22,На складе
Карьера программиста,Лакман Макдауэлл Гейл,Питер:Библиотека программиста,2127,2727,22,На складе
Глубокое обучение. Легкая разработка проектов на Python,Вейдман Сет,Питер:Бестселлеры O`Reilly,2901,3719,22,На складе
Паттерны проектирования для C# и платформы .NET Core,"Арораа Гаурав, Чилберто Джеффри",Питер:Для профессионалов,3347,4291,22,На складе
Структуры и алгоритмы обработки данных. Учебник для СПО,"Павлов Леонид Александрович, Первова Наталия Викторовна",Лань:Компьютеры и программное обеспечение,1320,2200,40,Ограничено
Численные методы и программирование. Учебное пособие для СПО,Слабнов Виктор Дмитриевич,Лань:Компьютеры и программное обеспечение,3706,6176,40,На складе
Технология разработки программного обеспечения. Учебное пособие для СПО,Зубкова Татьяна Михайловна,Лань:Компьютеры и программное обеспечение,2518,4196,40,На складе
Изучаем C++ через программирование игр,Доусон Майкл,Питер,1399,Нет старого прайса,Нет скидки,На складе
Совершенный софт. Совершенный софт - совершенная карьера,Леве Джувел,Питер:Для профессионалов,2214,2839,22,На складе
"Spark в действии. С примерами Java, Python и Scala",Перрен Жан-Жорж,ДМК-Пресс,3350,5583,40,На складе
Изучаем Power Query. Наглядный подход к подключению и преобразованию данных из множества источников,"Фоукс Линда, Спарроу Уоррен",ДМК-Пресс,2177,3628,40,На складе
Программирование на Python в примерах и задачах,Васильев Алексей Николаевич,Бомбора:Российский компьютерный бестселлер,1165,1596,27,На складе
Глубокое обучение с подкреплением. AlphaGo и другие технологии,Лапань Максим,Питер:Для профессионалов,2694,3454,22,На складе
Spring Boot 2. Лучшие практики для профессионалов,Гутьеррес Фелипе,Питер:Библиотека программиста,2722,3490,22,На складе
Эволюционные нейросети на языке Python,Омельяненко Ярослав,ДМК-Пресс,2009,3349,40,На складе
Алгоритмы обучения с подкреплением на Python,Лонца Андреа,ДМК-Пресс,2009,3349,40,На складе
Цифровой синтез. Практический курс,Романов А. Ю. и др.,ДМК-Пресс,2345,3908,40,На складе
Системное программирование. Лабораторные работы. Учебное пособие,Жулабова Фатима Тахировна,Лань:Учебники для вузов. Специальная литература,1166,1943,40,На складе
Криптография и взлом шифров на Python,Свейгарт Эл,Диалектика,2474,4123,40,На складе
Программист-прагматик,"Томас Дэвид, Хант Эндрю",Диалектика,3227,5378,40,На складе
Учимся программировать с примерами на Python,Фримен Эрик,Диалектика:Head First,3227,5378,40,На складе
Параллельное программирование на C++ с помощью библиотеки TBB,Восс Майкл и др.,ДМК-Пресс,3350,5583,40,На складе
Предметно-ориентированное проектирование в Enterprise Java,Наир Виджей,ДМК-Пресс,2177,3628,40,Ограничено
Анализ данных при помощи Microsoft Power BI и Power Pivot для Excel,"Феррари Альберто, Руссо Марко",ДМК-Пресс,1758,2930,40,На складе
Распределенные системы реального времени. Теория и практика,Эрджиес Кайхан,ДМК-Пресс,2009,3349,40,На складе
Нативная разработка мобильных приложений. Перекрестный справочник для iOS и Android,"Льюис Шон, Данн Майк",ДМК-Пресс,2177,3628,40,На складе
Паттерны объектно-ориентированного проектирования,Гамма Э. и др.,Питер:Библиотека программиста,1057,Нет старого прайса,Нет скидки,На складе
Применение пакета Matlab и Simulink для анализа электрических цепей. Том 1. Практикум,Фриск Валерий Владимирович и др.,Солон-пресс:Библиотека студента,1173,1955,40,На складе
Управление памятью в .NET для профессионалов,Кокоса Конрад,ДМК-Пресс,3434,5723,40,На складе
Исследование операций и методы оптимизации. Учебное пособие,"Болотский Александр Владимирович, Кочеткова Ольга Анатольевна",Лань:Учебники для вузов. Специальная литература,529,881,40,Ограничено
Веб-компоненты в действии,Фаррелл Бен,ДМК-Пресс,1841,3069,40,На складе
Машинное обучение на R: экспертные техники для прогностического анализа,Ланц Бретт,Питер:Библиотека программиста,2910,3731,22,На складе
Глубокое обучение. Погружение в мир нейронных сетей,Николенко С. и др.,Питер:Библиотека программиста,1554,1992,22,На складе
Архитектура компьютерных систем. Курс лекций. Учебное пособие,Белугина Светлана Викторовна,Лань:Учебники для вузов. Специальная литература,1119,1865,40,На складе
Разработка программных модулей программного обеспечения для компьютерных систем,Белугина Светлана Викторовна,Лань:Учебники для вузов. Специальная литература,2347,3912,40,Ограничено
Основы программирования информационного контента. Учебное пособие,"Быкадорова Елена Анатольевна, Синявская Оксана Николаевна",Лань:Учебники для вузов. Специальная литература,673,1122,40,На складе
Численные методы. Учебник,Слабнов Виктор Дмитриевич,Лань:Учебники для вузов. Специальная литература,4091,6818,40,На складе
Введение в глубокое обучение,Черняк Евгений,Вильямс,1291,2152,40,Ограничено
Легкий способ выучить Python 3 еще глубже,Шоу Зед А.,Эксмо-Пресс:Мировой компьютерный бестселлер (обложка),880,1206,27,На складе
Практикум по численным методам в вычислительных средах matlab и mathcad. Учебное пособие,"Бастрон Алевтина Алексеевна, Охапкина Елена Павловна",РГГУ,494,823,40,Ограничено
SCALA для нетерпеливых,Хостманн Кей,ДМК-Пресс:Функциональное программирование,1508,2513,40,На складе
Обучение с подкреплением,"Саттон Ричард С., Барто Эндрю Г.",ДМК-Пресс,3853,6421,40,На складе
Рекомендательные системы на практике,Фальк Ким,ДМК-Пресс,2177,3628,40,На складе
Flutter на практике. Прокачиваем навыки мобильной разработки с помощью открыт. фреймворка от Googlе,Заметти Франк,ДМК-Пресс,2177,3628,40,На складе
Java Concurrency на практике,Гетц Брайан и др.,Питер:Для профессионалов,1841,2360,22,На складе
C# 8.0. Карманный справочник,"Албахари Джозеф, Албахари Бен",Диалектика,1291,2152,40,Ограничено
Нейронные сети и глубокое обучение. Учебный курс,Аггарвал Чару,Вильямс,4840,8066,40,Ограничено
"Разработка веб-приложений с помощью Node.js, MongoDB и Angular. Исчерпывающее руководство",Дейли Брэд и др.,Вильямс,4086,6810,40,На складе
Разработка игр на Unity 2018 за 24 часа,Гейг Майк,Бомбора:Мировой компьютерный бестселлер,1772,2427,27,На складе
"R. Книга рецептов. Проверенные рецепты для статистики, анализа и визуализации","Лонг Дж. Д., Титор Пол",ДМК-Пресс,2680,4466,40,На складе
Графовые алгоритмы. Практическая реализация на платформах  Apache Spark и Neo4j,"Нидхем Марк, Ходлер Эми",ДМК-Пресс,1841,3069,40,На складе
Функциональное программирование на С++. Как сделать свои программы изящными с помощью технологии фун,Чукич Иван,ДМК-Пресс,2177,3628,40,На складе
Теория автоматического управления (с использованием MATLAB-SIMULINK). Практикум. Учебное пособие,Пащенко Федор Федорович и др.,Лань:Учебники для вузов. Специальная литература,1442,2404,40,На складе
Python. Непрерывная интеграция и доставка,Ленц Мориц,ДМК-Пресс,1256,2093,40,На складе
Программирование GPU при помощи Python и CUDA. Исследуйте высокопроизводительные параллельные вычисл,Тоуманнен Бриан,ДМК-Пресс,1508,2513,40,На складе
"Изучаем Python. Программирование игр, визуализация данных, веб-приложения",Мэтиз Эрик,Питер:Библиотека программиста,1645,Нет старого прайса,Нет скидки,На складе
Java. Библиотека профессионала. Том 2. Расширенные средства программирования,Хорстманн Кей С.,Вильямс,4840,8066,40,На складе
Изучаем Python. Том 2,Лутц Марк,Вильямс,4086,6810,40,На складе
Волшебство Kotlin,Симон Пьер-Ив,ДМК-Пресс,2177,3628,40,На складе
Методы и алгоритмы решения прикладных задач дискретной оптимизации. Учебное пособие,"Карпов Дмитрий Анатольевич, Струченков Валерий Иванович",Солон-пресс:Библиотека профессионала,671,1118,40,На складе
